state,year,week,week_cases,m_accum,f_accum,cases_accum
Chiapas,2013,4,0,0,0,0
Chihuahua,2013,4,0,0,0,0
Distrito Federal,2013,4,0,0,0,0
Durango,2013,4,0,0,0,0
Guanajuato,2013,4,0,0,0,1
Guerrero,2013,4,0,0,0,0
Hidalgo,2013,4,0,0,0,0
Jalisco,2013,4,0,0,0,0
México,2013,4,0,0,0,1
Michoacán,2013,4,0,0,0,0
Morelos,2013,4,0,0,0,0
Nayarit,2013,4,0,0,0,0
Nuevo León,2013,4,0,0,0,1
Oaxaca,2013,4,0,0,0,0
Puebla,2013,4,0,0,0,0
Querétaro,2013,4,0,0,0,0
Quintana Roo,2013,4,0,0,0,0
San Luis Potosí,2013,4,0,0,0,0
Sinaloa,2013,4,0,0,0,0
Sonora,2013,4,0,0,0,0
Tabasco,2013,4,0,0,0,0
Tamaulipas,2013,4,0,0,0,0
Tlaxcala,2013,4,0,0,0,0
Veracruz,2013,4,0,0,0,0
Yucatán,2013,4,0,0,0,0
Zacatecas,2013,4,0,0,0,0
Aguascalientes,2013,5,0,0,0,0
Baja California,2013,5,0,0,0,31
Baja California Sur,2013,5,0,0,0,6
Campeche,2013,5,0,0,0,0
Coahuila,2013,5,0,0,0,3
Colima,2013,5,0,0,0,0
Chiapas,2013,5,0,0,0,0
Chihuahua,2013,5,0,0,0,1
Distrito Federal,2013,5,0,0,0,0
Durango,2013,5,0,0,0,0
Guanajuato,2013,5,0,0,0,2
Guerrero,2013,5,0,0,0,0
Hidalgo,2013,5,0,0,0,0
Jalisco,2013,5,0,0,0,0
México,2013,5,0,0,0,1
Michoacán,2013,5,0,0,0,5
Morelos,2013,5,0,0,0,0
Nayarit,2013,5,0,0,0,0
Nuevo León,2013,5,0,0,0,1
Oaxaca,2013,5,0,0,0,0
Puebla,2013,5,0,0,0,0
Querétaro,2013,5,0,0,0,0
Quintana Roo,2013,5,0,0,0,0
San Luis Potosí,2013,5,0,0,0,0
Sinaloa,2013,5,0,0,0,2
Sonora,2013,5,0,0,0,0
Tabasco,2013,5,0,0,0,0
Tamaulipas,2013,5,0,0,0,0
Tlaxcala,2013,5,0,0,0,0
Veracruz,2013,5,0,0,0,0
Yucatán,2013,5,0,0,0,0
Zacatecas,2013,5,0,0,0,1
Aguascalientes,2013,6,0,0,0,0
Baja California,2013,6,0,0,0,43
Baja California Sur,2013,6,0,0,0,10
Campeche,2013,6,0,0,0,0
Coahuila,2013,6,0,0,0,10
Colima,2013,6,0,0,0,0
Chiapas,2013,6,0,0,0,0
Chihuahua,2013,6,0,0,0,1
Distrito Federal,2013,6,0,0,0,0
Durango,2013,6,0,0,0,0
Guanajuato,2013,6,0,0,0,2
Guerrero,2013,6,0,0,0,0
Hidalgo,2013,6,0,0,0,0
Jalisco,2013,6,0,0,0,0
México,2013,6,0,0,0,1
Michoacán,2013,6,0,0,0,8
Morelos,2013,6,0,0,0,0
Nayarit,2013,6,0,0,0,0
Nuevo León,2013,6,0,0,0,4
Oaxaca,2013,6,0,0,0,0
Puebla,2013,6,0,0,0,0
Querétaro,2013,6,0,0,0,0
Quintana Roo,2013,6,0,0,0,0
San Luis Potosí,2013,6,0,0,0,0
Sinaloa,2013,6,0,0,0,2
Sonora,2013,6,0,0,0,2
Tabasco,2013,6,0,0,0,0
Tamaulipas,2013,6,0,0,0,0
Tlaxcala,2013,6,0,0,0,0
Veracruz,2013,6,0,0,0,0
Yucatán,2013,6,0,0,0,0
Zacatecas,2013,6,0,0,0,1
Aguascalientes,2013,7,0,0,0,0
Baja California,2013,7,0,0,0,55
Baja California Sur,2013,7,0,0,0,10
Campeche,2013,7,0,0,0,0
Coahuila,2013,7,0,0,0,14
Colima,2013,7,0,0,0,0
Chiapas,2013,7,0,0,0,0
Chihuahua,2013,7,0,0,0,1
Distrito Federal,2013,7,0,0,0,0
Durango,2013,7,0,0,0,0
Guanajuato,2013,7,0,0,0,2
Guerrero,2013,7,0,0,0,0
Hidalgo,2013,7,0,0,0,0
Jalisco,2013,7,0,0,0,0
México,2013,7,0,0,0,1
Michoacán,2013,7,0,0,0,8
Morelos,2013,7,0,0,0,0
Nayarit,2013,7,0,0,0,0
Nuevo León,2013,7,0,0,0,4
Oaxaca,2013,7,0,0,0,0
Puebla,2013,7,0,0,0,0
Querétaro,2013,7,0,0,0,0
Quintana Roo,2013,7,0,0,0,0
San Luis Potosí,2013,7,0,0,0,0
Sinaloa,2013,7,0,0,0,4
Sonora,2013,7,0,0,0,2
Tabasco,2013,7,0,0,0,0
Tamaulipas,2013,7,0,0,0,0
Tlaxcala,2013,7,0,0,0,0
Veracruz,2013,7,0,0,0,0
Yucatán,2013,7,0,0,0,0
Zacatecas,2013,7,0,0,0,1
Aguascalientes,2013,8,0,0,0,0
Baja California,2013,8,0,0,0,69
Baja California Sur,2013,8,0,0,0,10
Campeche,2013,8,0,0,0,0
Coahuila,2013,8,0,0,0,14
Colima,2013,8,0,0,0,0
Chiapas,2013,8,0,0,0,0
Chihuahua,2013,8,0,0,0,2
Distrito Federal,2013,8,0,0,0,0
Durango,2013,8,0,0,0,0
Guanajuato,2013,8,0,0,0,2
Guerrero,2013,8,0,0,0,0
Hidalgo,2013,8,0,0,0,0
Jalisco,2013,8,0,0,0,0
México,2013,8,0,0,0,1
Michoacán,2013,8,0,0,0,11
Morelos,2013,8,0,0,0,0
Nayarit,2013,8,0,0,0,0
Nuevo León,2013,8,0,0,0,4
Oaxaca,2013,8,0,0,0,0
Puebla,2013,8,0,0,0,0
Querétaro,2013,8,0,0,0,0
Quintana Roo,2013,8,0,0,0,0
San Luis Potosí,2013,8,0,0,0,0
Sinaloa,2013,8,0,0,0,6
Sonora,2013,8,0,0,0,2
Tabasco,2013,8,0,0,0,0
Tamaulipas,2013,8,0,0,0,0
Tlaxcala,2013,8,0,0,0,0
Veracruz,2013,8,0,0,0,0
Yucatán,2013,8,0,0,0,0
Zacatecas,2013,8,0,0,0,1
Aguascalientes,2013,9,0,0,0,0
Baja California,2013,9,0,0,0,93
Baja California Sur,2013,9,0,0,0,15
Campeche,2013,9,0,0,0,0
Coahuila,2013,9,0,0,0,18
Colima,2013,9,0,0,0,0
Chiapas,2013,9,0,0,0,0
Chihuahua,2013,9,0,0,0,2
Distrito Federal,2013,9,0,0,0,0
Durango,2013,9,0,0,0,0
Guanajuato,2013,9,0,0,0,2
Guerrero,2013,9,0,0,0,0
Hidalgo,2013,9,0,0,0,0
Jalisco,2013,9,0,0,0,0
México,2013,9,0,0,0,1
Michoacán,2013,9,0,0,0,11
Morelos,2013,9,0,0,0,0
Nayarit,2013,9,0,0,0,0
Nuevo León,2013,9,0,0,0,6
Oaxaca,2013,9,0,0,0,0
Puebla,2013,9,0,0,0,0
Querétaro,2013,9,0,0,0,0
Quintana Roo,2013,9,0,0,0,0
San Luis Potosí,2013,9,0,0,0,0
Sinaloa,2013,9,0,0,0,7
Sonora,2013,9,0,0,0,3
Tabasco,2013,9,0,0,0,0
Tamaulipas,2013,9,0,0,0,0
Tlaxcala,2013,9,0,0,0,0
Veracruz,2013,9,0,0,0,0
Yucatán,2013,9,0,0,0,0
Zacatecas,2013,9,0,0,0,1
Aguascalientes,2013,10,0,0,0,0
Baja California,2013,10,0,0,0,120
Baja California Sur,2013,10,0,0,0,15
Campeche,2013,10,0,0,0,0
Coahuila,2013,10,0,0,0,26
Colima,2013,10,0,0,0,0
Chiapas,2013,10,0,0,0,0
Chihuahua,2013,10,0,0,0,2
Distrito Federal,2013,10,0,0,0,0
Durango,2013,10,0,0,0,0
Guanajuato,2013,10,0,0,0,2
Guerrero,2013,10,0,0,0,0
Hidalgo,2013,10,0,0,0,0
Jalisco,2013,10,0,0,0,0
México,2013,10,0,0,0,1
Michoacán,2013,10,0,0,0,12
Morelos,2013,10,0,0,0,0
Nayarit,2013,10,0,0,0,0
Nuevo León,2013,10,0,0,0,7
Oaxaca,2013,10,0,0,0,0
Puebla,2013,10,0,0,0,0
Querétaro,2013,10,0,0,0,0
Quintana Roo,2013,10,0,0,0,0
San Luis Potosí,2013,10,0,0,0,0
Sinaloa,2013,10,0,0,0,7
Sonora,2013,10,0,0,0,4
Tabasco,2013,10,0,0,0,0
Tamaulipas,2013,10,0,0,0,0
Tlaxcala,2013,10,0,0,0,0
Veracruz,2013,10,0,0,0,0
Yucatán,2013,10,0,0,0,0
Zacatecas,2013,10,0,0,0,1
Aguascalientes,2013,11,0,0,0,0
Baja California,2013,11,0,0,0,142
Baja California Sur,2013,11,0,0,0,16
Campeche,2013,11,0,0,0,0
Coahuila,2013,11,0,0,0,46
Colima,2013,11,0,0,0,0
Chiapas,2013,11,0,0,0,0
Chihuahua,2013,11,0,0,0,2
Distrito Federal,2013,11,0,0,0,0
Durango,2013,11,0,0,0,0
Guanajuato,2013,11,0,0,0,2
Guerrero,2013,11,0,0,0,3
Hidalgo,2013,11,0,0,0,0
Jalisco,2013,11,0,0,0,0
México,2013,11,0,0,0,1
Michoacán,2013,11,0,0,0,25
Morelos,2013,11,0,0,0,3
Nayarit,2013,11,0,0,0,0
Nuevo León,2013,11,0,0,0,6
Oaxaca,2013,11,0,0,0,0
Puebla,2013,11,0,0,0,0
Querétaro,2013,11,0,0,0,0
Quintana Roo,2013,11,0,0,0,0
San Luis Potosí,2013,11,0,0,0,0
Sinaloa,2013,11,0,0,0,8
Sonora,2013,11,0,0,0,21
Tabasco,2013,11,0,0,0,0
Tamaulipas,2013,11,0,0,0,0
Tlaxcala,2013,11,0,0,0,0
Veracruz,2013,11,0,0,0,0
Yucatán,2013,11,0,0,0,0
Zacatecas,2013,11,0,0,0,1
Aguascalientes,2013,12,0,0,0,0
Baja California,2013,12,0,0,0,160
Baja California Sur,2013,12,0,0,0,21
Campeche,2013,12,0,0,0,1
Coahuila,2013,12,0,0,0,54
Colima,2013,12,0,0,0,0
Chiapas,2013,12,0,0,0,0
Chihuahua,2013,12,0,0,0,2
Distrito Federal,2013,12,0,0,0,0
Durango,2013,12,0,0,0,0
Guanajuato,2013,12,0,0,0,2
Guerrero,2013,12,0,0,0,3
Hidalgo,2013,12,0,0,0,0
Jalisco,2013,12,0,0,0,1
México,2013,12,0,0,0,1
Michoacán,2013,12,0,0,0,25
Morelos,2013,12,0,0,0,3
Nayarit,2013,12,0,0,0,0
Nuevo León,2013,12,0,0,0,7
Oaxaca,2013,12,0,0,0,0
Puebla,2013,12,0,0,0,0
Querétaro,2013,12,0,0,0,0
Quintana Roo,2013,12,0,0,0,0
San Luis Potosí,2013,12,0,0,0,0
Sinaloa,2013,12,0,0,0,9
Sonora,2013,12,0,0,0,23
Tabasco,2013,12,0,0,0,0
Tamaulipas,2013,12,0,0,0,0
Tlaxcala,2013,12,0,0,0,0
Veracruz,2013,12,0,0,0,0
Yucatán,2013,12,0,0,0,0
Zacatecas,2013,12,0,0,0,1
Aguascalientes,2013,13,0,0,0,0
Baja California,2013,13,0,0,0,184
Baja California Sur,2013,13,0,0,0,26
Campeche,2013,13,0,0,0,1
Coahuila,2013,13,0,0,0,67
Colima,2013,13,0,0,0,0
Chiapas,2013,13,0,0,0,0
Chihuahua,2013,13,0,0,0,2
Distrito Federal,2013,13,0,0,0,0
Durango,2013,13,0,0,0,0
Guanajuato,2013,13,0,0,0,2
Guerrero,2013,13,0,0,0,3
Hidalgo,2013,13,0,0,0,0
Jalisco,2013,13,0,0,0,1
México,2013,13,0,0,0,1
Michoacán,2013,13,0,0,0,26
Morelos,2013,13,0,0,0,3
Nayarit,2013,13,0,0,0,0
Nuevo León,2013,13,0,0,0,8
Oaxaca,2013,13,0,0,0,0
Puebla,2013,13,0,0,0,0
Querétaro,2013,13,0,0,0,0
Quintana Roo,2013,13,0,0,0,0
San Luis Potosí,2013,13,0,0,0,0
Sinaloa,2013,13,0,0,0,9
Sonora,2013,13,0,0,0,24
Tabasco,2013,13,0,0,0,0
Tamaulipas,2013,13,0,0,0,0
Tlaxcala,2013,13,0,0,0,0
Veracruz,2013,13,0,0,0,0
Yucatán,2013,13,0,0,0,0
Zacatecas,2013,13,0,0,0,1
Aguascalientes,2013,14,0,0,0,0
Baja California,2013,14,0,0,0,192
Baja California Sur,2013,14,0,0,0,26
Campeche,2013,14,0,0,0,1
Coahuila,2013,14,0,0,0,74
Colima,2013,14,0,0,0,0
Chiapas,2013,14,0,0,0,0
Chihuahua,2013,14,0,0,0,2
Distrito Federal,2013,14,0,0,0,0
Durango,2013,14,0,0,0,0
Guanajuato,2013,14,0,0,0,2
Guerrero,2013,14,0,0,0,4
Hidalgo,2013,14,0,0,0,0
Jalisco,2013,14,0,0,0,1
México,2013,14,0,0,0,1
Michoacán,2013,14,0,0,0,26
Morelos,2013,14,0,0,0,3
Nayarit,2013,14,0,0,0,0
Nuevo León,2013,14,0,0,0,8
Oaxaca,2013,14,0,0,0,0
Puebla,2013,14,0,0,0,0
Querétaro,2013,14,0,0,0,0
Quintana Roo,2013,14,0,0,0,0
San Luis Potosí,2013,14,0,0,0,0
Sinaloa,2013,14,0,0,0,10
Sonora,2013,14,0,0,0,24
Tabasco,2013,14,0,0,0,0
Tamaulipas,2013,14,0,0,0,0
Tlaxcala,2013,14,0,0,0,0
Veracruz,2013,14,0,0,0,0
Yucatán,2013,14,0,0,0,0
Zacatecas,2013,14,0,0,0,1
Aguascalientes,2013,15,0,0,0,0
Baja California,2013,15,0,0,0,209
Baja California Sur,2013,15,0,0,0,27
Campeche,2013,15,0,0,0,1
Coahuila,2013,15,0,0,0,84
Colima,2013,15,0,0,0,0
Chiapas,2013,15,0,0,0,0
Chihuahua,2013,15,0,0,0,2
Distrito Federal,2013,15,0,0,0,0
Durango,2013,15,0,0,0,0
Guanajuato,2013,15,0,0,0,2
Guerrero,2013,15,0,0,0,4
Hidalgo,2013,15,0,0,0,0
Jalisco,2013,15,0,0,0,1
México,2013,15,0,0,0,1
Michoacán,2013,15,0,0,0,30
Morelos,2013,15,0,0,0,3
Nayarit,2013,15,0,0,0,0
Nuevo León,2013,15,0,0,0,8
Oaxaca,2013,15,0,0,0,0
Puebla,2013,15,0,0,0,0
Querétaro,2013,15,0,0,0,0
Quintana Roo,2013,15,0,0,0,0
San Luis Potosí,2013,15,0,0,0,0
Sinaloa,2013,15,0,0,0,10
Sonora,2013,15,0,0,0,28
Tabasco,2013,15,0,0,0,0
Tamaulipas,2013,15,0,0,0,0
Tlaxcala,2013,15,0,0,0,0
Veracruz,2013,15,0,0,0,0
Yucatán,2013,15,0,0,0,0
Zacatecas,2013,15,0,0,0,1
Aguascalientes,2013,16,0,0,0,0
Baja California,2013,16,0,0,0,220
Baja California Sur,2013,16,0,0,0,29
Campeche,2013,16,0,0,0,1
Coahuila,2013,16,0,0,0,95
Colima,2013,16,0,0,0,0
Chiapas,2013,16,0,0,0,0
Chihuahua,2013,16,0,0,0,2
Distrito Federal,2013,16,0,0,0,0
Durango,2013,16,0,0,0,0
Guanajuato,2013,16,0,0,0,2
Guerrero,2013,16,0,0,0,4
Hidalgo,2013,16,0,0,0,0
Jalisco,2013,16,0,0,0,1
México,2013,16,0,0,0,1
Michoacán,2013,16,0,0,0,30
Morelos,2013,16,0,0,0,3
Nayarit,2013,16,0,0,0,0
Nuevo León,2013,16,0,0,0,8
Oaxaca,2013,16,0,0,0,0
Puebla,2013,16,0,0,0,0
Querétaro,2013,16,0,0,0,0
Quintana Roo,2013,16,0,0,0,0
San Luis Potosí,2013,16,0,0,0,0
Sinaloa,2013,16,0,0,0,10
Sonora,2013,16,0,0,0,30
Tabasco,2013,16,0,0,0,0
Tamaulipas,2013,16,0,0,0,0
Tlaxcala,2013,16,0,0,0,0
Veracruz,2013,16,0,0,0,0
Yucatán,2013,16,0,0,0,0
Zacatecas,2013,16,0,0,0,1
Aguascalientes,2013,17,0,0,0,0
Baja California,2013,17,0,0,0,229
Baja California Sur,2013,17,0,0,0,30
Campeche,2013,17,0,0,0,1
Coahuila,2013,17,0,0,0,107
Colima,2013,17,0,0,0,0
Chiapas,2013,17,0,0,0,0
Chihuahua,2013,17,0,0,0,2
Distrito Federal,2013,17,0,0,0,0
Durango,2013,17,0,0,0,0
Guanajuato,2013,17,0,0,0,2
Guerrero,2013,17,0,0,0,5
Hidalgo,2013,17,0,0,0,0
Jalisco,2013,17,0,0,0,1
México,2013,17,0,0,0,1
Michoacán,2013,17,0,0,0,35
Morelos,2013,17,0,0,0,3
Nayarit,2013,17,0,0,0,0
Nuevo León,2013,17,0,0,0,10
Oaxaca,2013,17,0,0,0,0
Puebla,2013,17,0,0,0,0
Querétaro,2013,17,0,0,0,0
Quintana Roo,2013,17,0,0,0,0
San Luis Potosí,2013,17,0,0,0,0
Sinaloa,2013,17,0,0,0,10
Sonora,2013,17,0,0,0,31
Tabasco,2013,17,0,0,0,0
Tamaulipas,2013,17,0,0,0,0
Tlaxcala,2013,17,0,0,0,0
Veracruz,2013,17,0,0,0,0
Yucatán,2013,17,0,0,0,0
Zacatecas,2013,17,0,0,0,1
Aguascalientes,2013,18,0,0,0,0
Baja California,2013,18,0,0,0,238
Baja California Sur,2013,18,0,0,0,31
Campeche,2013,18,0,0,0,1
Coahuila,2013,18,0,0,0,112
Colima,2013,18,0,0,0,0
Chiapas,2013,18,0,0,0,0
Chihuahua,2013,18,0,0,0,2
Distrito Federal,2013,18,0,0,0,0
Durango,2013,18,0,0,0,0
Guanajuato,2013,18,0,0,0,2
Guerrero,2013,18,0,0,0,5
Hidalgo,2013,18,0,0,0,0
Jalisco,2013,18,0,0,0,1
México,2013,18,0,0,0,1
Michoacán,2013,18,0,0,0,35
Morelos,2013,18,0,0,0,3
Nayarit,2013,18,0,0,0,0
Nuevo León,2013,18,0,0,0,10
Oaxaca,2013,18,0,0,0,0
Puebla,2013,18,0,0,0,0
Querétaro,2013,18,0,0,0,0
Quintana Roo,2013,18,0,0,0,0
San Luis Potosí,2013,18,0,0,0,0
Sinaloa,2013,18,0,0,0,10
Sonora,2013,18,0,0,0,31
Tabasco,2013,18,0,0,0,0
Tamaulipas,2013,18,0,0,0,0
Tlaxcala,2013,18,0,0,0,0
Veracruz,2013,18,0,0,0,0
Yucatán,2013,18,0,0,0,0
Zacatecas,2013,18,0,0,0,1
Aguascalientes,2013,19,0,0,0,0
Baja California,2013,19,0,0,0,243
Baja California Sur,2013,19,0,0,0,32
Campeche,2013,19,0,0,0,2
Coahuila,2013,19,0,0,0,118
Colima,2013,19,0,0,0,0
Chiapas,2013,19,0,0,0,0
Chihuahua,2013,19,0,0,0,2
Distrito Federal,2013,19,0,0,0,0
Durango,2013,19,0,0,0,0
Guanajuato,2013,19,0,0,0,3
Guerrero,2013,19,0,0,0,5
Hidalgo,2013,19,0,0,0,0
Jalisco,2013,19,0,0,0,1
México,2013,19,0,0,0,1
Michoacán,2013,19,0,0,0,37
Morelos,2013,19,0,0,0,3
Nayarit,2013,19,0,0,0,0
Nuevo León,2013,19,0,0,0,10
Oaxaca,2013,19,0,0,0,0
Puebla,2013,19,0,0,0,0
Querétaro,2013,19,0,0,0,0
Quintana Roo,2013,19,0,0,0,0
San Luis Potosí,2013,19,0,0,0,0
Sinaloa,2013,19,0,0,0,10
Sonora,2013,19,0,0,0,31
Tabasco,2013,19,0,0,0,0
Tamaulipas,2013,19,0,0,0,0
Tlaxcala,2013,19,0,0,0,0
Veracruz,2013,19,0,0,0,0
Yucatán,2013,19,0,0,0,0
Zacatecas,2013,19,0,0,0,1
Aguascalientes,2013,20,0,0,0,0
Baja California,2013,20,0,0,0,254
Baja California Sur,2013,20,0,0,0,32
Campeche,2013,20,0,0,0,2
Coahuila,2013,20,0,0,0,123
Colima,2013,20,0,0,0,0
Chiapas,2013,20,0,0,0,0
Chihuahua,2013,20,0,0,0,2
Distrito Federal,2013,20,0,0,0,0
Durango,2013,20,0,0,0,0
Guanajuato,2013,20,0,0,0,3
Guerrero,2013,20,0,0,0,5
Hidalgo,2013,20,0,0,0,0
Jalisco,2013,20,0,0,0,1
México,2013,20,0,0,0,1
Michoacán,2013,20,0,0,0,37
Morelos,2013,20,0,0,0,3
Nayarit,2013,20,0,0,0,0
Nuevo León,2013,20,0,0,0,10
Oaxaca,2013,20,0,0,0,0
Puebla,2013,20,0,0,0,0
Querétaro,2013,20,0,0,0,0
Quintana Roo,2013,20,0,0,0,0
San Luis Potosí,2013,20,0,0,0,0
Sinaloa,2013,20,0,0,0,10
Sonora,2013,20,0,0,0,31
Tabasco,2013,20,0,0,0,0
Tamaulipas,2013,20,0,0,0,0
Tlaxcala,2013,20,0,0,0,0
Veracruz,2013,20,0,0,0,0
Yucatán,2013,20,0,0,0,0
Zacatecas,2013,20,0,0,0,1
Aguascalientes,2013,21,0,0,0,0
Baja California,2013,21,0,0,0,273
Baja California Sur,2013,21,0,0,0,32
Campeche,2013,21,0,0,0,2
Coahuila,2013,21,0,0,0,127
Colima,2013,21,0,0,0,0
Chiapas,2013,21,0,0,0,0
Chihuahua,2013,21,0,0,0,2
Distrito Federal,2013,21,0,0,0,0
Durango,2013,21,0,0,0,0
Guanajuato,2013,21,0,0,0,3
Guerrero,2013,21,0,0,0,5
Hidalgo,2013,21,0,0,0,0
Jalisco,2013,21,0,0,0,1
México,2013,21,0,0,0,1
Michoacán,2013,21,0,0,0,37
Morelos,2013,21,0,0,0,3
Nayarit,2013,21,0,0,0,0
Nuevo León,2013,21,0,0,0,10
Oaxaca,2013,21,0,0,0,0
Puebla,2013,21,0,0,0,0
Querétaro,2013,21,0,0,0,0
Quintana Roo,2013,21,0,0,0,0
San Luis Potosí,2013,21,0,0,0,0
Sinaloa,2013,21,0,0,0,10
Sonora,2013,21,0,0,0,31
Tabasco,2013,21,0,0,0,0
Tamaulipas,2013,21,0,0,0,0
Tlaxcala,2013,21,0,0,0,0
Veracruz,2013,21,0,0,0,0
Yucatán,2013,21,0,0,0,0
Zacatecas,2013,21,0,0,0,1
Aguascalientes,2013,22,0,0,0,0
Baja California,2013,22,0,0,0,290
Baja California Sur,2013,22,0,0,0,32
Campeche,2013,22,0,0,0,2
Coahuila,2013,22,0,0,0,132
Colima,2013,22,0,0,0,0
Chiapas,2013,22,0,0,0,0
Chihuahua,2013,22,0,0,0,2
Distrito Federal,2013,22,0,0,0,0
Durango,2013,22,0,0,0,0
Guanajuato,2013,22,0,0,0,3
Guerrero,2013,22,0,0,0,5
Hidalgo,2013,22,0,0,0,0
Jalisco,2013,22,0,0,0,1
México,2013,22,0,0,0,1
Michoacán,2013,22,0,0,0,37
Morelos,2013,22,0,0,0,3
Nayarit,2013,22,0,0,0,0
Nuevo León,2013,22,0,0,0,11
Oaxaca,2013,22,0,0,0,0
Puebla,2013,22,0,0,0,0
Querétaro,2013,22,0,0,0,0
Quintana Roo,2013,22,0,0,0,0
San Luis Potosí,2013,22,0,0,0,0
Sinaloa,2013,22,0,0,0,10
Sonora,2013,22,0,0,0,34
Tabasco,2013,22,0,0,0,0
Tamaulipas,2013,22,0,0,0,0
Tlaxcala,2013,22,0,0,0,0
Veracruz,2013,22,0,0,0,0
Yucatán,2013,22,0,0,0,0
Zacatecas,2013,22,0,0,0,1
Aguascalientes,2013,23,0,0,0,0
Baja California,2013,23,0,0,0,309
Baja California Sur,2013,23,0,0,0,34
Campeche,2013,23,0,0,0,2
Coahuila,2013,23,0,0,0,135
Colima,2013,23,0,0,0,0
Chiapas,2013,23,0,0,0,0
Chihuahua,2013,23,0,0,0,2
Distrito Federal,2013,23,0,0,0,0
Durango,2013,23,0,0,0,0
Guanajuato,2013,23,0,0,0,4
Guerrero,2013,23,0,0,0,5
Hidalgo,2013,23,0,0,0,0
Jalisco,2013,23,0,0,0,1
México,2013,23,0,0,0,1
Michoacán,2013,23,0,0,0,41
Morelos,2013,23,0,0,0,3
Nayarit,2013,23,0,0,0,0
Nuevo León,2013,23,0,0,0,12
Oaxaca,2013,23,0,0,0,0
Puebla,2013,23,0,0,0,0
Querétaro,2013,23,0,0,0,0
Quintana Roo,2013,23,0,0,0,0
San Luis Potosí,2013,23,0,0,0,0
Sinaloa,2013,23,0,0,0,10
Sonora,2013,23,0,0,0,35
Tabasco,2013,23,0,0,0,0
Tamaulipas,2013,23,0,0,0,0
Tlaxcala,2013,23,0,0,0,0
Veracruz,2013,23,0,0,0,0
Yucatán,2013,23,0,0,0,0
Zacatecas,2013,23,0,0,0,1
Aguascalientes,2013,24,0,0,0,0
Baja California,2013,24,0,0,0,321
Baja California Sur,2013,24,0,0,0,35
Campeche,2013,24,0,0,0,2
Coahuila,2013,24,0,0,0,136
Colima,2013,24,0,0,0,0
Chiapas,2013,24,0,0,0,0
Chihuahua,2013,24,0,0,0,2
Distrito Federal,2013,24,0,0,0,0
Durango,2013,24,0,0,0,0
Guanajuato,2013,24,0,0,0,4
Guerrero,2013,24,0,0,0,5
Hidalgo,2013,24,0,0,0,0
Jalisco,2013,24,0,0,0,1
México,2013,24,0,0,0,1
Michoacán,2013,24,0,0,0,46
Morelos,2013,24,0,0,0,3
Nayarit,2013,24,0,0,0,0
Nuevo León,2013,24,0,0,0,12
