state,year,week,week_cases,m_accum,f_accum
Michoacán,2016,3,0,0,0
Morelos,2016,3,0,0,0
Nayarit,2016,3,0,0,0
Nuevo León,2016,3,0,0,0
Oaxaca,2016,3,0,0,0
Puebla,2016,3,0,0,0
Querétaro,2016,3,0,0,0
Quintana Roo,2016,3,0,0,0
San Luis Potosí,2016,3,0,0,0
Sinaloa,2016,3,0,0,0
Sonora,2016,3,0,0,0
Tabasco,2016,3,0,0,0
Tamaulipas,2016,3,0,0,0
Tlaxcala,2016,3,0,0,0
Veracruz,2016,3,0,0,0
Yucatán,2016,3,0,0,0
Zacatecas,2016,3,0,0,0
Aguascalientes,2016,4,0,0,0
Baja California,2016,4,0,0,0
Baja California Sur,2016,4,0,0,0
Campeche,2016,4,0,0,0
Coahuila,2016,4,0,0,0
Colima,2016,4,0,0,0
Chiapas,2016,4,0,0,0
Chihuahua,2016,4,0,0,0
Ciudad de México,2016,4,0,0,0
Durango,2016,4,0,0,0
Guanajuato,2016,4,0,0,0
Guerrero,2016,4,0,0,0
Hidalgo,2016,4,0,0,0
Jalisco,2016,4,0,0,0
México,2016,4,0,0,0
Michoacán,2016,4,0,0,0
Morelos,2016,4,0,0,0
Nayarit,2016,4,0,0,0
Nuevo León,2016,4,0,0,0
Oaxaca,2016,4,0,0,0
Puebla,2016,4,0,0,0
Querétaro,2016,4,0,0,0
Quintana Roo,2016,4,0,0,0
San Luis Potosí,2016,4,0,0,0
Sinaloa,2016,4,0,0,0
Sonora,2016,4,0,0,0
Tabasco,2016,4,0,0,0
Tamaulipas,2016,4,0,0,0
Tlaxcala,2016,4,0,0,0
Veracruz,2016,4,1,1,0
Yucatán,2016,4,0,0,0
Zacatecas,2016,4,0,0,0
Aguascalientes,2016,5,0,0,0
Baja California,2016,5,0,0,0
Baja California Sur,2016,5,0,0,0
Campeche,2016,5,0,0,0
Coahuila,2016,5,0,0,0
Colima,2016,5,0,0,0
Chiapas,2016,5,0,0,0
Chihuahua,2016,5,0,0,0
Ciudad de México,2016,5,0,0,0
Durango,2016,5,0,0,0
Guanajuato,2016,5,0,0,0
Guerrero,2016,5,0,0,0
Hidalgo,2016,5,0,0,0
Jalisco,2016,5,0,0,0
México,2016,5,0,0,0
Michoacán,2016,5,0,0,0
Morelos,2016,5,0,0,0
Nayarit,2016,5,0,0,0
Nuevo León,2016,5,0,0,0
Oaxaca,2016,5,0,0,0
Puebla,2016,5,0,0,0
Querétaro,2016,5,0,0,0
Quintana Roo,2016,5,0,0,0
San Luis Potosí,2016,5,0,0,0
Sinaloa,2016,5,0,0,0
Sonora,2016,5,0,0,0
Tabasco,2016,5,0,0,0
Tamaulipas,2016,5,0,0,0
Tlaxcala,2016,5,0,0,0
Veracruz,2016,5,0,1,0
Yucatán,2016,5,0,0,0
Zacatecas,2016,5,0,0,0
Aguascalientes,2016,6,0,0,0
Baja California,2016,6,0,0,0
Baja California Sur,2016,6,0,0,0
Campeche,2016,6,0,0,0
Coahuila,2016,6,0,0,0
Colima,2016,6,0,0,0
Chiapas,2016,6,0,0,0
Chihuahua,2016,6,0,0,0
Ciudad de México,2016,6,0,0,0
Durango,2016,6,0,0,0
Guanajuato,2016,6,0,0,0
Guerrero,2016,6,0,0,0
Hidalgo,2016,6,0,0,0
Jalisco,2016,6,0,0,0
México,2016,6,0,0,0
Michoacán,2016,6,0,0,0
Morelos,2016,6,0,0,0
Nayarit,2016,6,0,0,0
Nuevo León,2016,6,1,0,1
Oaxaca,2016,6,0,0,0
Puebla,2016,6,0,0,0
Querétaro,2016,6,0,0,0
Quintana Roo,2016,6,0,0,0
San Luis Potosí,2016,6,0,0,0
Sinaloa,2016,6,0,0,0
Sonora,2016,6,0,0,0
Tabasco,2016,6,0,0,0
Tamaulipas,2016,6,0,0,0
Tlaxcala,2016,6,0,0,0
Veracruz,2016,6,0,1,0
Yucatán,2016,6,0,0,0
Zacatecas,2016,6,0,0,0
Aguascalientes,2016,7,0,0,0
Baja California,2016,7,1,0,1
Baja California Sur,2016,7,0,0,0
Campeche,2016,7,0,0,0
Coahuila,2016,7,0,0,0
Colima,2016,7,0,0,0
Chiapas,2016,7,0,0,0
Chihuahua,2016,7,0,0,0
Ciudad de México,2016,7,0,0,0
Durango,2016,7,0,0,0
Guanajuato,2016,7,0,0,0
Guerrero,2016,7,0,0,0
Hidalgo,2016,7,0,0,0
Jalisco,2016,7,0,0,0
México,2016,7,0,0,0
Michoacán,2016,7,0,0,0
Morelos,2016,7,0,0,0
Nayarit,2016,7,0,0,0
Nuevo León,2016,7,0,0,1
Oaxaca,2016,7,0,0,0
Puebla,2016,7,0,0,0
Querétaro,2016,7,0,0,0
Quintana Roo,2016,7,0,0,0
San Luis Potosí,2016,7,0,0,0
Sinaloa,2016,7,0,0,0
Sonora,2016,7,0,0,0
Tabasco,2016,7,0,0,0
Tamaulipas,2016,7,0,0,0
Tlaxcala,2016,7,0,0,0
Veracruz,2016,7,0,1,0
Yucatán,2016,7,0,0,0
Zacatecas,2016,7,0,0,0
Aguascalientes,2016,8,0,0,0
Baja California,2016,8,0,0,1
Baja California Sur,2016,8,0,0,0
Campeche,2016,8,0,0,0
Coahuila,2016,8,0,0,0
Colima,2016,8,0,0,0
Chiapas,2016,8,0,0,0
Chihuahua,2016,8,0,0,0
Ciudad de México,2016,8,0,0,0
Durango,2016,8,0,0,0
Guanajuato,2016,8,0,0,0
Guerrero,2016,8,0,0,0
Hidalgo,2016,8,0,0,0
Jalisco,2016,8,0,0,0
México,2016,8,0,0,0
Michoacán,2016,8,0,0,0
Morelos,2016,8,0,0,0
Nayarit,2016,8,0,0,0
Nuevo León,2016,8,0,0,1
Oaxaca,2016,8,0,0,0
Puebla,2016,8,0,0,0
Querétaro,2016,8,0,0,0
Quintana Roo,2016,8,0,0,0
San Luis Potosí,2016,8,0,0,0
Sinaloa,2016,8,0,0,0
Sonora,2016,8,0,0,0
Tabasco,2016,8,0,0,0
Tamaulipas,2016,8,0,0,0
Tlaxcala,2016,8,0,0,0
Veracruz,2016,8,0,1,0
Yucatán,2016,8,0,0,0
Zacatecas,2016,8,0,0,0
Aguascalientes,2016,9,0,0,0
Baja California,2016,9,0,0,1
Baja California Sur,2016,9,0,0,0
Campeche,2016,9,0,0,0
Coahuila,2016,9,0,0,0
Colima,2016,9,0,0,0
Chiapas,2016,9,0,0,0
Chihuahua,2016,9,0,0,0
Ciudad de México,2016,9,0,0,0
Durango,2016,9,0,0,0
Guanajuato,2016,9,0,0,0
Guerrero,2016,9,0,0,0
Hidalgo,2016,9,0,0,0
Jalisco,2016,9,0,0,0
México,2016,9,0,0,0
Michoacán,2016,9,0,0,0
Morelos,2016,9,0,0,0
Nayarit,2016,9,0,0,0
Nuevo León,2016,9,0,0,1
Oaxaca,2016,9,0,0,0
Puebla,2016,9,0,0,0
Querétaro,2016,9,0,0,0
Quintana Roo,2016,9,0,0,0
San Luis Potosí,2016,9,0,0,0
Sinaloa,2016,9,0,0,0
Sonora,2016,9,1,1,0
Tabasco,2016,9,0,0,0
Tamaulipas,2016,9,0,0,0
Tlaxcala,2016,9,0,0,0
Veracruz,2016,9,0,1,0
Yucatán,2016,9,0,0,0
Zacatecas,2016,9,0,0,0
Aguascalientes,2016,10,0,0,0
Baja California,2016,10,1,0,2
Baja California Sur,2016,10,0,0,0
Campeche,2016,10,0,0,0
Coahuila,2016,10,0,0,0
Colima,2016,10,0,0,0
Chiapas,2016,10,0,0,0
Chihuahua,2016,10,0,0,0
Ciudad de México,2016,10,0,0,0
Durango,2016,10,0,0,0
Guanajuato,2016,10,0,0,0
Guerrero,2016,10,0,0,0
Hidalgo,2016,10,0,0,0
Jalisco,2016,10,0,0,0
México,2016,10,0,0,0
Michoacán,2016,10,0,0,0
Morelos,2016,10,0,0,0
Nayarit,2016,10,0,0,0
Nuevo León,2016,10,2,0,3
Oaxaca,2016,10,0,0,0
Puebla,2016,10,0,0,0
Querétaro,2016,10,0,0,0
Quintana Roo,2016,10,0,0,0
San Luis Potosí,2016,10,0,0,0
Sinaloa,2016,10,0,0,0
Sonora,2016,10,0,1,0
Tabasco,2016,10,0,0,0
Tamaulipas,2016,10,0,0,0
Tlaxcala,2016,10,0,0,0
Veracruz,2016,10,0,1,0
Yucatán,2016,10,0,0,0
Zacatecas,2016,10,0,0,0
Aguascalientes,2016,11,0,0,0
Baja California,2016,11,0,0,2
Baja California Sur,2016,11,0,0,0
Campeche,2016,11,0,0,0
Coahuila,2016,11,0,0,0
Colima,2016,11,0,0,0
Chiapas,2016,11,0,0,0
Chihuahua,2016,11,0,0,0
Ciudad de México,2016,11,0,0,0
Durango,2016,11,0,0,0
Guanajuato,2016,11,0,0,0
Guerrero,2016,11,0,0,0
Hidalgo,2016,11,0,0,0
Jalisco,2016,11,0,0,0
México,2016,11,0,0,0
Michoacán,2016,11,0,0,0
Morelos,2016,11,0,0,0
Nayarit,2016,11,0,0,0
Nuevo León,2016,11,0,0,3
Oaxaca,2016,11,0,0,0
Puebla,2016,11,0,0,0
Querétaro,2016,11,0,0,0
Quintana Roo,2016,11,0,0,0
San Luis Potosí,2016,11,0,0,0
Sinaloa,2016,11,0,0,0
Sonora,2016,11,0,1,0
Tabasco,2016,11,0,0,0
Tamaulipas,2016,11,0,0,0
Tlaxcala,2016,11,0,0,0
Veracruz,2016,11,0,1,0
Yucatán,2016,11,0,0,0
Zacatecas,2016,11,0,0,0
Aguascalientes,2016,12,0,0,0
Baja California,2016,12,0,0,2
Baja California Sur,2016,12,0,0,0
Campeche,2016,12,0,0,0
Coahuila,2016,12,0,0,0
Colima,2016,12,0,0,0
Chiapas,2016,12,0,0,0
Chihuahua,2016,12,0,0,0
Ciudad de México,2016,12,0,0,0
Durango,2016,12,0,0,0
Guanajuato,2016,12,0,0,0
Guerrero,2016,12,0,0,0
Hidalgo,2016,12,0,0,0
Jalisco,2016,12,0,0,0
México,2016,12,0,0,0
Michoacán,2016,12,0,0,0
Morelos,2016,12,0,0,0
Nayarit,2016,12,0,0,0
Nuevo León,2016,12,0,0,3
Oaxaca,2016,12,0,0,0
Puebla,2016,12,0,0,0
Querétaro,2016,12,0,0,0
Quintana Roo,2016,12,0,0,0
San Luis Potosí,2016,12,0,0,0
Sinaloa,2016,12,0,0,0
Sonora,2016,12,0,1,0
Tabasco,2016,12,0,0,0
Tamaulipas,2016,12,0,0,0
Tlaxcala,2016,12,0,0,0
Veracruz,2016,12,0,1,0
Yucatán,2016,12,0,0,0
Zacatecas,2016,12,0,0,0
Aguascalientes,2016,13,0,0,0
Baja California,2016,13,0,0,2
Baja California Sur,2016,13,0,0,0
Campeche,2016,13,0,0,0
Coahuila,2016,13,0,0,0
Colima,2016,13,0,0,0
Chiapas,2016,13,0,0,0
Chihuahua,2016,13,0,0,0
Ciudad de México,2016,13,0,0,0
Durango,2016,13,0,0,0
Guanajuato,2016,13,0,0,0
Guerrero,2016,13,0,0,0
Hidalgo,2016,13,0,0,0
Jalisco,2016,13,0,0,0
México,2016,13,0,0,0
Michoacán,2016,13,0,0,0
Morelos,2016,13,0,0,0
Nayarit,2016,13,0,0,0
Nuevo León,2016,13,0,0,3
Oaxaca,2016,13,0,0,0
Puebla,2016,13,0,0,0
Querétaro,2016,13,0,0,0
Quintana Roo,2016,13,0,0,0
San Luis Potosí,2016,13,0,0,0
Sinaloa,2016,13,0,0,0
Sonora,2016,13,1,1,1
Tabasco,2016,13,0,0,0
Tamaulipas,2016,13,0,0,0
Tlaxcala,2016,13,0,0,0
Veracruz,2016,13,1,1,1
Yucatán,2016,13,0,0,0
Zacatecas,2016,13,0,0,0
Aguascalientes,2016,14,0,0,0
Baja California,2016,14,0,0,2
Baja California Sur,2016,14,0,0,0
Campeche,2016,14,0,0,0
Coahuila,2016,14,0,0,0
Colima,2016,14,0,0,0
Chiapas,2016,14,0,0,0
Chihuahua,2016,14,0,0,0
Ciudad de México,2016,14,0,0,0
Durango,2016,14,0,0,0
Guanajuato,2016,14,0,0,0
Guerrero,2016,14,0,0,0
Hidalgo,2016,14,0,0,0
Jalisco,2016,14,0,0,0
México,2016,14,0,0,0
Michoacán,2016,14,0,0,0
Morelos,2016,14,0,0,0
Nayarit,2016,14,0,0,0
Nuevo León,2016,14,0,0,3
Oaxaca,2016,14,0,0,0
Puebla,2016,14,0,0,0
Querétaro,2016,14,0,0,0
Quintana Roo,2016,14,0,0,0
San Luis Potosí,2016,14,0,0,0
Sinaloa,2016,14,0,0,0
Sonora,2016,14,0,1,1
Tabasco,2016,14,0,0,0
Tamaulipas,2016,14,0,0,0
Tlaxcala,2016,14,0,0,0
Veracruz,2016,14,0,1,1
Yucatán,2016,14,0,0,0
Zacatecas,2016,14,0,0,0
Aguascalientes,2016,15,0,0,0
Baja California,2016,15,1,0,3
Baja California Sur,2016,15,0,0,0
Campeche,2016,15,1,1,0
Coahuila,2016,15,2,2,0
Colima,2016,15,0,0,0
Chiapas,2016,15,0,0,0
Chihuahua,2016,15,1,1,0
Ciudad de México,2016,15,0,0,0
Durango,2016,15,0,0,0
Guanajuato,2016,15,0,0,0
Guerrero,2016,15,0,0,0
Hidalgo,2016,15,0,0,0
Jalisco,2016,15,0,0,0
México,2016,15,0,0,0
Michoacán,2016,15,0,0,0
Morelos,2016,15,1,1,0
Nayarit,2016,15,0,0,0
Nuevo León,2016,15,1,0,4
Oaxaca,2016,15,0,0,0
Puebla,2016,15,0,0,0
Querétaro,2016,15,0,0,0
Quintana Roo,2016,15,0,0,0
San Luis Potosí,2016,15,0,0,0
Sinaloa,2016,15,0,0,0
Sonora,2016,15,3,2,4
Tabasco,2016,15,0,0,0
Tamaulipas,2016,15,2,1,1
Tlaxcala,2016,15,0,0,0
Veracruz,2016,15,0,1,1
Yucatán,2016,15,0,0,0
Zacatecas,2016,15,0,0,0
Aguascalientes,2016,16,0,0,0
Baja California,2016,16,0,0,3
Baja California Sur,2016,16,0,0,0
Campeche,2016,16,0,1,0
Coahuila,2016,16,0,2,0
Colima,2016,16,0,0,0
Chiapas,2016,16,0,0,0
Chihuahua,2016,16,0,1,0
Ciudad de México,2016,16,0,0,0
Durango,2016,16,0,0,0
Guanajuato,2016,16,0,0,0
Guerrero,2016,16,0,0,0
Hidalgo,2016,16,0,0,0
Jalisco,2016,16,0,0,0
México,2016,16,0,0,0
Michoacán,2016,16,0,0,0
Morelos,2016,16,0,1,0
Nayarit,2016,16,0,0,0
Nuevo León,2016,16,0,0,4
Oaxaca,2016,16,0,0,0
Puebla,2016,16,0,0,0
Querétaro,2016,16,0,0,0
Quintana Roo,2016,16,0,0,0
San Luis Potosí,2016,16,0,0,0
Sinaloa,2016,16,0,0,0
Sonora,2016,16,0,2,4
Tabasco,2016,16,0,0,0
Tamaulipas,2016,16,0,1,1
Tlaxcala,2016,16,0,0,0
Veracruz,2016,16,0,1,1
Yucatán,2016,16,0,0,0
Zacatecas,2016,16,0,0,0
Aguascalientes,2016,17,0,0,0
Baja California,2016,17,0,0,3
Baja California Sur,2016,17,0,0,0
Campeche,2016,17,0,1,0
Coahuila,2016,17,0,2,0
Colima,2016,17,0,0,0
Chiapas,2016,17,0,0,0
Chihuahua,2016,17,2,2,1
Ciudad de México,2016,17,0,0,0
Durango,2016,17,0,0,0
Guanajuato,2016,17,0,0,0
Guerrero,2016,17,0,0,0
Hidalgo,2016,17,0,0,0
Jalisco,2016,17,0,0,0
México,2016,17,0,0,0
Michoacán,2016,17,0,0,0
Morelos,2016,17,1,1,1
Nayarit,2016,17,0,0,0
Nuevo León,2016,17,1,3,2
Oaxaca,2016,17,0,0,0
Puebla,2016,17,0,0,0
Querétaro,2016,17,0,0,0
Quintana Roo,2016,17,0,0,0
San Luis Potosí,2016,17,0,0,0
Sinaloa,2016,17,2,0,2
Sonora,2016,17,3,5,4
Tabasco,2016,17,0,0,0
Tamaulipas,2016,17,0,1,1
Tlaxcala,2016,17,0,0,0
Veracruz,2016,17,0,1,1
Yucatán,2016,17,0,0,0
Zacatecas,2016,17,0,0,0
Aguascalientes,2016,18,0,0,0
Baja California,2016,18,0,0,3
Baja California Sur,2016,18,0,0,0
Campeche,2016,18,0,1,0
Coahuila,2016,18,0,2,0
Colima,2016,18,0,0,0
Chiapas,2016,18,0,0,0
Chihuahua,2016,18,0,2,1
Ciudad de México,2016,18,0,0,0
Durango,2016,18,0,0,0
Guanajuato,2016,18,0,0,0
Guerrero,2016,18,0,0,0
Hidalgo,2016,18,0,0,0
Jalisco,2016,18,0,0,0
México,2016,18,0,0,0
Michoacán,2016,18,0,0,0
Morelos,2016,18,0,1,1
Nayarit,2016,18,0,0,0
Nuevo León,2016,18,1,3,3
Oaxaca,2016,18,0,0,0
Puebla,2016,18,0,0,0
Querétaro,2016,18,0,0,0
Quintana Roo,2016,18,0,0,0
San Luis Potosí,2016,18,0,0,0
Sinaloa,2016,18,2,0,4
Sonora,2016,18,0,5,4
Tabasco,2016,18,0,0,0
Tamaulipas,2016,18,0,1,1
Tlaxcala,2016,18,0,0,0
Veracruz,2016,18,0,1,1
Yucatán,2016,18,0,0,0
Zacatecas,2016,18,0,0,0
Aguascalientes,2016,19,0,0,0
Baja California,2016,19,0,0,3
Baja California Sur,2016,19,0,0,0
Campeche,2016,19,0,1,0
Coahuila,2016,19,0,2,0
Colima,2016,19,0,0,0
Chiapas,2016,19,0,0,0
Chihuahua,2016,19,0,2,1
Ciudad de México,2016,19,0,0,0
Durango,2016,19,0,0,0
Guanajuato,2016,19,0,0,0
Guerrero,2016,19,0,0,0
Hidalgo,2016,19,0,0,0
Jalisco,2016,19,1,0,1
México,2016,19,0,0,0
Michoacán,2016,19,1,0,1
Morelos,2016,19,0,1,1
Nayarit,2016,19,0,0,0
Nuevo León,2016,19,0,3,3
Oaxaca,2016,19,0,0,0
Puebla,2016,19,0,0,0
Querétaro,2016,19,0,0,0
Quintana Roo,2016,19,0,0,0
San Luis Potosí,2016,19,0,0,0
Sinaloa,2016,19,0,0,4
Sonora,2016,19,0,5,4
Tabasco,2016,19,0,0,0
Tamaulipas,2016,19,0,1,1
Tlaxcala,2016,19,0,0,0
Veracruz,2016,19,1,1,2
Yucatán,2016,19,0,0,0
Zacatecas,2016,19,0,0,0
Aguascalientes,2016,20,0,0,0
Baja California,2016,20,0,0,3
Baja California Sur,2016,20,1,0,1
Campeche,2016,20,0,1,0
Coahuila,2016,20,0,2,0
Colima,2016,20,0,0,0
Chiapas,2016,20,0,0,0
Chihuahua,2016,20,0,2,1
Ciudad de México,2016,20,0,0,0
Durango,2016,20,0,0,0
Guanajuato,2016,20,0,0,0
Guerrero,2016,20,0,0,0
Hidalgo,2016,20,0,0,0
Jalisco,2016,20,1,0,2
México,2016,20,0,0,0
Michoacán,2016,20,0,0,1
Morelos,2016,20,1,2,1
Nayarit,2016,20,0,0,0
Nuevo León,2016,20,0,3,3
Oaxaca,2016,20,0,0,0
Puebla,2016,20,0,0,0
Querétaro,2016,20,0,0,0
Quintana Roo,2016,20,0,0,0
San Luis Potosí,2016,20,0,0,0
Sinaloa,2016,20,1,0,5
Sonora,2016,20,1,6,4
Tabasco,2016,20,0,0,0
Tamaulipas,2016,20,1,2,1
Tlaxcala,2016,20,0,0,0
Veracruz,2016,20,0,1,2
Yucatán,2016,20,0,0,0
Zacatecas,2016,20,0,0,0
Aguascalientes,2016,21,0,0,0
Baja California,2016,21,0,0,3
Baja California Sur,2016,21,0,0,1
Campeche,2016,21,0,1,0
Coahuila,2016,21,0,2,0
Colima,2016,21,0,0,0
Chiapas,2016,21,1,1,0
Chihuahua,2016,21,0,2,1
Ciudad de México,2016,21,0,0,0
Durango,2016,21,0,0,0
Guanajuato,2016,21,0,0,0
Guerrero,2016,21,0,0,0
Hidalgo,2016,21,0,0,0
Jalisco,2016,21,1,1,2
México,2016,21,0,0,0
Michoacán,2016,21,0,0,1
Morelos,2016,21,0,2,1
Nayarit,2016,21,0,0,0
Nuevo León,2016,21,0,3,3
Oaxaca,2016,21,0,0,0
Puebla,2016,21,0,0,0
Querétaro,2016,21,0,0,0
Quintana Roo,2016,21,0,0,0
San Luis Potosí,2016,21,0,0,0
Sinaloa,2016,21,0,0,5
Sonora,2016,21,1,6,5
Tabasco,2016,21,0,0,0
Tamaulipas,2016,21,0,2,1
Tlaxcala,2016,21,0,0,0
Veracruz,2016,21,1,1,3
Yucatán,2016,21,0,0,0
Zacatecas,2016,21,0,0,0
Aguascalientes,2016,22,0,0,0
Baja California,2016,22,0,0,3
Baja California Sur,2016,22,0,0,1
Campeche,2016,22,0,1,0
Coahuila,2016,22,0,2,0
Colima,2016,22,0,0,0
Chiapas,2016,22,0,1,0
Chihuahua,2016,22,0,2,1
Ciudad de México,2016,22,0,0,0
Durango,2016,22,0,0,0
Guanajuato,2016,22,0,0,0
Guerrero,2016,22,0,0,0
Hidalgo,2016,22,0,0,0
Jalisco,2016,22,0,1,2
México,2016,22,0,0,0
Michoacán,2016,22,0,0,1
Morelos,2016,22,0,2,1
Nayarit,2016,22,0,0,0
Nuevo León,2016,22,0,3,3
Oaxaca,2016,22,0,0,0
Puebla,2016,22,0,0,0
Querétaro,2016,22,0,0,0
Quintana Roo,2016,22,0,0,0
San Luis Potosí,2016,22,0,0,0
Sinaloa,2016,22,0,0,5
Sonora,2016,22,1,7,5
Tabasco,2016,22,0,0,0
Tamaulipas,2016,22,0,2,1
Tlaxcala,2016,22,0,0,0
Veracruz,2016,22,0,1,3
Yucatán,2016,22,0,0,0
Zacatecas,2016,22,0,0,0
Aguascalientes,2016,23,0,0,0
Baja California,2016,23,1,1,3
Baja California Sur,2016,23,0,0,1
Campeche,2016,23,0,1,0
Coahuila,2016,23,0,2,0
Colima,2016,23,0,0,0
Chiapas,2016,23,0,1,0
Chihuahua,2016,23,0,2,1
Ciudad de México,2016,23,0,0,0
Durango,2016,23,0,0,0
Guanajuato,2016,23,0,0,0
Guerrero,2016,23,0,0,0
Hidalgo,2016,23,0,0,0
Jalisco,2016,23,0,1,2
México,2016,23,0,0,0
Michoacán,2016,23,0,0,1
Morelos,2016,23,2,4,1
Nayarit,2016,23,0,0,0
Nuevo León,2016,23,0,3,3
Oaxaca,2016,23,0,0,0
Puebla,2016,23,0,0,0
Querétaro,2016,23,0,0,0
Quintana Roo,2016,23,0,0,0
San Luis Potosí,2016,23,0,0,0
Sinaloa,2016,23,0,0,5
Sonora,2016,23,1,7,6
Tabasco,2016,23,0,0,0
Tamaulipas,2016,23,0,2,1
Tlaxcala,2016,23,0,0,0
Veracruz,2016,23,0,1,3
Yucatán,2016,23,0,0,0
Zacatecas,2016,23,0,0,0
Aguascalientes,2016,24,0,0,0
Baja California,2016,24,0,1,3
Baja California Sur,2016,24,0,0,1
Campeche,2016,24,0,1,0
Coahuila,2016,24,0,2,0
Colima,2016,24,0,0,0
Chiapas,2016,24,0,1,0
Chihuahua,2016,24,0,2,1
Ciudad de México,2016,24,0,0,0
Durango,2016,24,0,0,0
Guanajuato,2016,24,0,0,0
Guerrero,2016,24,0,0,0
Hidalgo,2016,24,0,0,0
Jalisco,2016,24,0,1,2
México,2016,24,0,0,0
Michoacán,2016,24,0,0,1
Morelos,2016,24,0,4,1
Nayarit,2016,24,0,0,0
Nuevo León,2016,24,0,3,3
Oaxaca,2016,24,0,0,0
Puebla,2016,24,0,0,0
Querétaro,2016,24,0,0,0
Quintana Roo,2016,24,0,0,0
San Luis Potosí,2016,24,0,0,0
Sinaloa,2016,24,0,0,5
Sonora,2016,24,1,7,7
Tabasco,2016,24,0,0,0
Tamaulipas,2016,24,0,2,1
Tlaxcala,2016,24,0,0,0
Veracruz,2016,24,0,1,3
Yucatán,2016,24,0,0,0
Zacatecas,2016,24,0,0,0
Aguascalientes,2016,25,0,0,0
Baja California,2016,25,0,1,3
Baja California Sur,2016,25,0,0,1
Campeche,2016,25,0,1,0
Coahuila,2016,25,0,2,0
Colima,2016,25,0,0,0
Chiapas,2016,25,0,1,0
Chihuahua,2016,25,1,3,1
Ciudad de México,2016,25,0,0,0
Durango,2016,25,0,0,0
Guanajuato,2016,25,0,0,0
Guerrero,2016,25,0,0,0
Hidalgo,2016,25,0,0,0
Jalisco,2016,25,0,1,2
México,2016,25,0,0,0
Michoacán,2016,25,0,0,1
Morelos,2016,25,1,4,2
Nayarit,2016,25,0,0,0
Nuevo León,2016,25,2,4,4
Oaxaca,2016,25,0,0,0
Puebla,2016,25,0,0,0
Querétaro,2016,25,0,0,0
Quintana Roo,2016,25,0,0,0
San Luis Potosí,2016,25,0,0,0
Sinaloa,2016,25,0,0,5
Sonora,2016,25,1,8,7
Tabasco,2016,25,0,0,0
Tamaulipas,2016,25,0,2,1
Tlaxcala,2016,25,0,0,0
Veracruz,2016,25,0,1,3
Yucatán,2016,25,0,0,0
Zacatecas,2016,25,0,0,0
Aguascalientes,2016,26,0,0,0
Baja California,2016,26,0,1,3
Baja California Sur,2016,26,0,0,1
Campeche,2016,26,0,1,0
Coahuila,2016,26,0,2,0
Colima,2016,26,0,0,0
Chiapas,2016,26,0,1,0
