Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
FLORIDA,2016,1,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,-,38,,53,,,-,23,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}', 'latitude': '28.915325', 'longitude': '-81.922409', 'needs_recoding': False}",
GEORGIA,2016,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,28,,44,,,-,23,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}', 'latitude': '32.836038', 'longitude': '-83.631709', 'needs_recoding': False}",
MARYLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,8,,19,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}', 'latitude': '39.290443', 'longitude': '-76.612333', 'needs_recoding': False}",
NORTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,4,,67,,,-,,-,,-,20,,55,,,-,20,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}', 'latitude': '35.47995', 'longitude': '-79.180571', 'needs_recoding': False}",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,1,,3,,,-,1,,2,,5,,15,,2,,7,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}', 'latitude': '34.009286', 'longitude': '-81.037094', 'needs_recoding': False}",
VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,3,,22,,,-,1,,3,,6,,31,,3,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}', 'latitude': '37.542699', 'longitude': '-78.45822', 'needs_recoding': False}",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}', 'latitude': '38.668501', 'longitude': '-80.709421', 'needs_recoding': False}",
E.S. CENTRAL,2016,1,,-,0,,3,,,-,,-,4,,14,,64,,4,,4,,,-,17,,27,,,-,11,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALABAMA,2016,1,,-,0,,1,,,-,,-,1,,3,,19,,1,,1,,,-,5,,11,,,-,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}', 'latitude': '32.839182', 'longitude': '-86.631125', 'needs_recoding': False}",
KENTUCKY,2016,1,,-,0,,0,,,-,,-,1,,1,,10,,1,,1,,,-,2,,8,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}', 'latitude': '37.64591', 'longitude': '-84.774043', 'needs_recoding': False}",
MISSISSIPPI,2016,1,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,3,,9,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}', 'latitude': '32.738663', 'longitude': '-89.537312', 'needs_recoding': False}",
TENNESSEE,2016,1,,-,0,,3,,,-,,-,2,,9,,41,,2,,2,,,-,6,,13,,,-,7,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}', 'latitude': '35.681402', 'longitude': '-85.774444', 'needs_recoding': False}",
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,10,,72,,,-,1,,24,,49,,66,,24,,49,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARKANSAS,2016,1,,-,0,,1,,,-,,-,,-,10,,71,,,-,1,,,-,2,,9,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}', 'latitude': '34.748745', 'longitude': '-92.275105', 'needs_recoding': False}",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,1,,9,,28,,1,,2,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}', 'latitude': '31.2931', 'longitude': '-92.463284', 'needs_recoding': False}",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,,-,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}', 'latitude': '35.468494', 'longitude': '-97.521264', 'needs_recoding': False}",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,23,,33,,47,,23,,42,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}', 'latitude': '31.827233', 'longitude': '-99.423022', 'needs_recoding': False}",
MOUNTAIN,2016,1,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,,-,24,,40,,,-,30,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ARIZONA,2016,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,10,,19,,,-,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}', 'latitude': '34.869712', 'longitude': '-111.760902', 'needs_recoding': False}",
COLORADO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,5,,8,,,-,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}', 'latitude': '38.841772', 'longitude': '-106.132562', 'needs_recoding': False}",
IDAHO,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}', 'latitude': '43.680635', 'longitude': '-114.364237', 'needs_recoding': False}",
MONTANA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}', 'latitude': '47.062617', 'longitude': '-109.430168', 'needs_recoding': False}",
NEVADA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,,-,15,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}', 'latitude': '39.491833', 'longitude': '-117.070159', 'needs_recoding': False}",
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,5,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}', 'latitude': '34.520396', 'longitude': '-106.244402', 'needs_recoding': False}",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}', 'latitude': '39.359772', 'longitude': '-111.584173', 'needs_recoding': False}",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}', 'latitude': '43.23558', 'longitude': '-108.110518', 'needs_recoding': False}",
PACIFIC,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,19,,105,,132,,19,,112,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}', 'latitude': '64.836661', 'longitude': '-147.738891', 'needs_recoding': False}",
CALIFORNIA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,11,,90,,114,,11,,97,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}', 'latitude': '37.640735', 'longitude': '-121.002435', 'needs_recoding': False}",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}', 'latitude': '21.30992', 'longitude': '-157.858158', 'needs_recoding': False}",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,3,,6,,10,,3,,9,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}', 'latitude': '44.567912', 'longitude': '-120.156945', 'needs_recoding': False}",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,13,,5,,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}', 'latitude': '47.517368', 'longitude': '-120.467672', 'needs_recoding': False}",
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}', 'needs_recoding': False}",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}', 'needs_recoding': False}",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}', 'latitude': '13.3532', 'longitude': '144.653198', 'needs_recoding': False}",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,,-,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}', 'latitude': '18.215692', 'longitude': '-66.414655', 'needs_recoding': False}",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}', 'needs_recoding': False}",
UNITED STATES,2016,2,,-,1,,10,,,-,2,,2,,50,,213,,7,,19,,99,,437,,526,,230,,720,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW ENGLAND,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,12,,25,,1,,14,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
CONNECTICUT,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,2,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}', 'latitude': '41.544654', 'longitude': '-72.651713', 'needs_recoding': False}",
MAINE,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}', 'latitude': '45.252223', 'longitude': '-68.986647', 'needs_recoding': False}",
MASSACHUSETTS,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,7,,15,,1,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}', 'latitude': '42.268546', 'longitude': '-72.085064', 'needs_recoding': False}",
NEW HAMPSHIRE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}', 'latitude': '43.657736', 'longitude': '-71.500736', 'needs_recoding': False}",
RHODE ISLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}', 'latitude': '41.707447', 'longitude': '-71.522488', 'needs_recoding': False}",
VERMONT,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}', 'latitude': '43.622479', 'longitude': '-72.51927', 'needs_recoding': False}",
MID. ATLANTIC,2016,2,,-,0,,2,,,-,,-,1,,1,,11,,1,,,-,21,,54,,84,,46,,70,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW JERSEY,2016,2,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,,-,11,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}', 'latitude': '40.104655', 'longitude': '-74.386686', 'needs_recoding': False}",
NEW YORK,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,6,,8,,30,,6,,2,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}', 'latitude': '42.826892', 'longitude': '-75.544286', 'needs_recoding': False}",
NEW YORK CITY,2016,2,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,4,,28,,45,,18,,39,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}', 'needs_recoding': False}",
PENNSYLVANIA,2016,2,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,11,,11,,22,,22,,18,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}', 'latitude': '40.789676', 'longitude': '-77.858055', 'needs_recoding': False}",
E.N. CENTRAL,2016,2,,-,0,,3,,,-,,-,,-,1,,6,,,-,1,,3,,41,,64,,10,,81,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ILLINOIS,2016,2,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,3,,17,,33,,4,,33,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}', 'latitude': '40.477092', 'longitude': '-88.993221', 'needs_recoding': False}",
INDIANA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,6,,15,,3,,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}', 'latitude': '39.76845', 'longitude': '-86.156212', 'needs_recoding': False}",
MICHIGAN,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,,-,18,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}', 'latitude': '44.66399', 'longitude': '-84.711206', 'needs_recoding': False}",
OHIO,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,9,,21,,,-,24,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}', 'latitude': '40.056807', 'longitude': '-82.405897', 'needs_recoding': False}",
WISCONSIN,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,3,,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}', 'latitude': '44.395526', 'longitude': '-89.834513', 'needs_recoding': False}",
W.N. CENTRAL,2016,2,,-,0,,5,,,-,,-,,-,6,,25,,,-,1,,4,,15,,27,,10,,26,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
IOWA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,2,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}', 'latitude': '42.46942', 'longitude': '-93.815856', 'needs_recoding': False}",
